run_id,strategy,model,lang,n,repeat_idx,elapsed_seconds,accuracy,f1_macro,mcc,status,error
baseline_ollama-qwen2.5-7b_pt_n625_1783895763,baseline,ollama/qwen2.5:7b,pt,625,0,2420.91,0.7328,0.7327,0.5266,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n625_1783898186,pipeline,ollama/qwen2.5:7b,pt,625,0,2343.45,0.8141,0.8124,0.6372,ok,
baseline_ollama-qwen2.5-7b_en_n625_1783900529,baseline,ollama/qwen2.5:7b,en,625,0,2181.53,0.6816,0.6788,0.4721,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n625_1783902712,pipeline,ollama/qwen2.5:7b,en,625,0,2112.4,0.7936,0.7931,0.6147,ok,
baseline_ollama-llama3.1-8b_pt_n625_1783904825,baseline,ollama/llama3.1:8b,pt,625,0,3127.0,0.6432,0.6338,0.4466,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n625_1783907952,pipeline,ollama/llama3.1:8b,pt,625,0,3123.61,0.6992,0.6963,0.5147,ok,
baseline_ollama-llama3.1-8b_en_n625_1783911076,baseline,ollama/llama3.1:8b,en,625,0,2895.56,0.6672,0.6606,0.4813,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n625_1783913973,pipeline,ollama/llama3.1:8b,en,625,0,3065.23,0.72,0.718,0.548,ok,
baseline_ollama-mistral-7b_pt_n625_1783917038,baseline,ollama/mistral:7b,pt,625,0,2905.52,0.5968,0.5806,0.3737,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_pt_n625_1783919945,pipeline,ollama/mistral:7b,pt,625,0,2727.72,0.5691,0.5419,0.3228,ok,
baseline_ollama-mistral-7b_en_n625_1783922673,baseline,ollama/mistral:7b,en,625,0,2335.74,0.584,0.5636,0.3634,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_en_n625_1783925009,pipeline,ollama/mistral:7b,en,625,0,2506.66,0.6238,0.6125,0.4066,ok,
