run_id,strategy,model,lang,n,repeat_idx,elapsed_seconds,accuracy,f1_macro,mcc,status,error
baseline_ollama-qwen2.5-7b_pt_n625_1783940610,baseline,ollama/qwen2.5:7b,pt,625,0,2423.0,0.742,0.742,0.54,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_pt_n625_1783943034,pipeline,ollama/qwen2.5:7b,pt,625,0,2340.86,0.8138,0.8121,0.6367,ok,
two_call_baseline_ollama-qwen2.5-7b_pt_n625_1783945375,two_call_baseline,ollama/qwen2.5:7b,pt,625,0,2459.96,0.8122,0.8109,0.6377,ok,
baseline_ollama-qwen2.5-7b_en_n625_1783947836,baseline,ollama/qwen2.5:7b,en,625,0,2184.44,0.6816,0.6788,0.4721,ok,
pipeline_ollama-qwen2.5-7b-ollama-qwen2.5-7b_en_n625_1783950021,pipeline,ollama/qwen2.5:7b,en,625,0,2115.07,0.7888,0.7881,0.6012,ok,
two_call_baseline_ollama-qwen2.5-7b_en_n625_1783952136,two_call_baseline,ollama/qwen2.5:7b,en,625,0,2178.18,0.8112,0.8105,0.6454,ok,
baseline_ollama-llama3.1-8b_pt_n625_1783954315,baseline,ollama/llama3.1:8b,pt,625,0,3075.21,0.6448,0.6353,0.452,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_pt_n625_1783957391,pipeline,ollama/llama3.1:8b,pt,625,0,3062.06,0.6928,0.6892,0.509,ok,
two_call_baseline_ollama-llama3.1-8b_pt_n625_1783960453,two_call_baseline,ollama/llama3.1:8b,pt,625,0,3198.61,0.6848,0.6806,0.4984,ok,
baseline_ollama-llama3.1-8b_en_n625_1783963652,baseline,ollama/llama3.1:8b,en,625,0,2827.91,0.6842,0.6778,0.501,ok,
pipeline_ollama-llama3.1-8b-ollama-llama3.1-8b_en_n625_1783966481,pipeline,ollama/llama3.1:8b,en,625,0,2984.91,0.7264,0.7249,0.5539,ok,
two_call_baseline_ollama-llama3.1-8b_en_n625_1783969466,two_call_baseline,ollama/llama3.1:8b,en,625,0,3114.34,0.736,0.735,0.5644,ok,
baseline_ollama-mistral-7b_pt_n625_1783972581,baseline,ollama/mistral:7b,pt,625,0,2962.67,0.5984,0.5825,0.376,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_pt_n625_1783975545,pipeline,ollama/mistral:7b,pt,625,0,2712.82,0.5691,0.5419,0.3228,ok,
two_call_baseline_ollama-mistral-7b_pt_n625_1783978258,two_call_baseline,ollama/mistral:7b,pt,625,0,2937.39,0.5824,0.5629,0.3536,ok,
baseline_ollama-mistral-7b_en_n625_1783981196,baseline,ollama/mistral:7b,en,625,0,2388.67,0.584,0.5636,0.3634,ok,
pipeline_ollama-mistral-7b-ollama-mistral-7b_en_n625_1783983585,pipeline,ollama/mistral:7b,en,625,0,2540.03,0.6238,0.6125,0.4066,ok,
two_call_baseline_ollama-mistral-7b_en_n625_1783986126,two_call_baseline,ollama/mistral:7b,en,625,0,2711.06,0.6208,0.6077,0.4169,ok,
